Day,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Conneticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1,14,-4,12,7,8,1,2,7,8,17,8,22,-12,-1,1,-2,0,6,20,0,8,4,0,-3,18,0,-12,-1,2,-1,6,2,-2,8,-6,3,8,3,6,2,10,-9,9,17,-4,,,,,,
2,17,-5,11,10,7,1,-1,6,6,19,12,22,-7,5,7,2,6,12,20,-2,6,1,1,-1,17,7,-16,1,1,-6,2,1,-3,9,-13,7,14,-1,2,-1,17,-9,14,18,-4,,,,,,
3,14,-6,12,9,9,-7,3,8,7,21,16,22,-6,1,6,-6,-2,11,17,-3,7,6,2,-8,18,1,-19,-7,1,-1,6,3,1,10,-21,9,3,0,5,5,18,-18,12,16,-6,,,,,,
4,9,-5,13,1,10,-13,6,8,8,14,8,22,-6,-8,-3,-12,-9,0,12,0,8,6,-8,-18,8,-7,-18,-12,2,4,7,3,1,12,-22,-1,-2,-1,6,6,14,-20,2,6,-1,,,,,,
5,7,-3,14,-1,6,-17,-1,0,1,12,6,22,-13,-11,-10,-13,-11,-6,12,-3,2,-1,-12,-19,6,-9,-22,-16,-6,-3,-2,-2,-4,3,-20,-9,-6,-2,-2,-1,9,-18,-2,9,-10,,,,,,
6,4,-3,14,-6,3,-13,-3,-1,-1,16,3,22,-19,-14,-14,-14,-13,-10,3,-7,0,-2,-13,-19,-1,-13,-18,-16,-9,-8,-3,-9,-8,3,-22,-12,-12,-3,-4,-3,7,-17,-6,-2,-13,,,,,,
7,-2,-6,13,-6,9,-8,-7,-6,-5,5,-3,21,-12,-12,-13,-9,-11,-12,-2,-12,-4,-7,-13,-15,-4,-9,-18,-12,-2,-11,-6,-8,-7,-3,-27,-13,-9,-3,-5,-6,1,-19,-8,0,-14,,,,,,
8,-1,-7,17,-4,16,-1,-9,-8,-7,2,-4,22,-1,-11,-11,-9,-3,-9,1,-12,-6,-9,-11,-14,-3,-8,-12,-8,4,-12,-7,0,-6,-6,-22,-11,-1,1,-7,-8,-1,-10,-7,3,-1,,,,,,
9,3,-5,16,3,12,10,-11,-9,-5,4,1,22,3,-1,-3,-4,1,-2,7,-14,-6,-10,-6,-7,6,1,-4,-3,4,-14,-10,3,-11,-7,-17,-6,6,3,-7,-11,1,-11,1,14,6,,,,,,
10,9,-6,16,16,12,4,-6,-3,0,9,6,23,2,7,7,1,5,7,18,-7,0,-2,3,-9,16,8,-11,-1,4,-7,-4,6,-2,2,-17,4,12,3,-2,-3,6,-12,11,21,5,,,,,,
11,17,-8,14,18,9,4,8,8,8,13,15,23,0,7,8,-4,6,10,20,7,8,8,3,-14,20,10,-18,-4,3,6,7,7,7,9,-24,7,14,1,3,9,15,-14,17,21,4,,,,,,
12,17,-4,14,17,7,-1,9,16,17,15,15,24,-4,1,8,-8,-5,13,22,6,17,10,-1,-14,21,0,-19,-8,-1,8,13,4,9,18,-22,10,7,-2,14,10,17,-19,16,23,0,,,,,,
13,18,2,16,8,8,-2,5,10,12,17,16,24,-8,-3,-2,-7,-5,4,21,-1,12,11,-6,-17,20,-3,-19,-7,-2,2,8,6,0,17,-21,-1,-1,-3,8,11,18,-14,8,19,1,,,,,,
14,16,4,16,6,6,0,-3,1,4,17,16,24,-9,0,0,-2,0,5,18,-11,3,-4,-4,-11,18,-1,-20,-2,-1,-7,0,7,-7,9,-20,-1,-1,-3,0,-4,16,-14,14,11,-1,,,,,,
15,16,4,13,7,6,-2,-1,2,6,17,16,24,-13,0,1,-1,1,4,18,-6,4,0,-4,-10,17,0,-18,-1,-3,-6,1,1,-4,9,-18,0,4,-3,1,-1,17,-14,11,17,-1,,,,,,
16,18,4,14,13,7,-1,-2,1,6,19,14,24,-14,8,7,1,5,10,22,-6,4,1,-2,-7,19,8,-17,1,-2,-4,0,3,-3,9,-13,3,6,-1,-2,-1,14,-11,16,18,-3,,,,,,
17,19,2,12,11,4,-1,1,6,8,17,17,25,-13,9,9,2,2,13,23,-1,6,3,2,0,21,5,-12,-1,-2,-2,5,3,-3,13,-8,11,7,2,4,2,18,-8,15,12,-3,,,,,,
18,20,0,13,7,8,2,2,8,11,21,17,26,-5,5,3,4,4,4,23,-6,10,2,2,0,18,6,-5,3,2,-1,5,2,2,14,-4,4,8,12,8,3,19,-4,9,11,-3,,,,,,
19,18,1,11,10,11,5,4,6,8,20,17,24,3,5,5,2,7,8,19,-1,6,4,3,0,16,8,-1,3,2,1,4,3,4,10,-8,4,10,9,6,5,14,-7,12,17,-1,,,,,,
20,19,-6,11,15,10,2,3,4,7,22,18,24,4,9,10,4,7,14,21,0,5,3,3,2,18,10,-2,6,1,-2,2,2,3,12,-6,9,11,7,2,2,19,-7,17,17,2,,,,,,
21,18,-8,12,14,10,-1,7,7,9,22,15,23,2,13,14,4,6,14,20,3,8,8,8,2,18,13,-12,5,1,4,7,1,8,12,-5,11,11,7,6,7,17,-4,17,18,1,,,,,,
22,14,-6,12,12,11,1,7,7,9,19,14,24,1,8,11,1,4,11,17,1,9,7,6,2,14,8,-8,0,2,2,8,1,4,13,-4,12,9,7,8,6,17,-5,16,17,0,,,,,,
23,14,-3,13,9,8,3,3,7,7,16,11,24,-2,6,8,1,1,10,14,-2,8,3,4,1,11,2,-5,-1,-1,0,5,5,2,11,-1,9,7,6,6,4,13,-2,9,16,3,,,,,,
24,12,3,10,11,8,-5,2,6,7,14,11,24,-4,6,5,1,7,6,14,-2,7,4,3,0,12,4,-11,1,-4,1,4,-1,1,11,-3,5,15,3,4,4,14,-3,9,19,0,,,,,,
25,13,4,9,12,6,-7,3,9,12,15,12,24,-6,6,8,0,2,8,19,1,10,4,3,-1,17,7,-9,-2,-6,1,8,-3,2,13,-6,6,4,6,10,5,14,-7,10,15,-3,,,,,,
26,12,6,9,5,8,-8,6,10,11,17,13,24,-4,1,2,-3,0,4,12,2,10,7,2,-3,8,-1,-6,-2,-3,5,9,-6,6,14,-7,1,2,8,7,7,16,-8,7,10,-4,,,,,,
27,4,5,9,4,8,-4,4,4,6,9,3,23,-6,-2,-1,-4,2,1,7,2,5,4,-1,-4,4,0,-7,-3,-3,3,4,-7,3,5,-2,-1,3,3,4,4,8,-3,4,9,-8,,,,,,
28,6,4,10,6,8,1,1,3,5,7,5,22,-5,1,-2,-2,4,2,10,0,5,2,-2,-3,8,3,-6,2,-3,1,1,-2,1,4,1,-1,5,4,3,2,6,0,5,10,-5,,,,,,
29,7,2,13,8,8,6,1,3,5,11,8,23,-7,-1,-2,1,6,1,12,-1,4,3,-6,-6,10,4,-3,3,-3,-1,2,1,1,6,3,-1,11,6,2,2,8,1,3,13,-7,,,,,,
30,9,-2,16,12,8,9,-2,1,2,9,10,23,-9,1,-2,5,7,-1,14,-4,1,-1,-8,-3,12,6,-1,7,0,-4,1,3,-4,3,3,-3,13,7,-2,-2,7,3,6,17,-6,,,,,,
31,13,-3,16,14,8,9,-6,3,6,13,14,23,-6,6,4,4,4,8,17,-9,6,-4,-2,1,18,7,-3,4,4,-7,-1,4,-7,10,-3,2,12,7,1,-4,12,-2,13,16,-4,,,,,,
32,14,-4,16,13,9,-4,0,3,6,15,12,22,-4,2,3,-1,2,7,20,-8,5,2,-1,-6,18,4,-12,-3,3,-2,3,7,-1,13,-11,1,9,3,6,1,16,-8,9,19,-2,,,,,,
33,15,-2,16,7,13,-7,0,4,6,17,11,21,-2,-3,-3,-7,-3,1,19,-6,6,2,-8,-11,12,-1,-19,-5,7,-4,3,3,-3,9,-16,-3,1,5,2,-1,16,-12,6,13,-1,,,,,,
34,9,-2,16,4,15,-6,-3,0,2,18,10,22,2,-4,-4,-4,-1,-4,11,-7,1,-2,-8,-9,8,-2,-18,-3,4,-4,-2,6,-4,6,-17,-6,2,2,-2,-3,12,-11,2,9,3,,,,,,
35,7,-1,16,1,13,8,-3,-2,1,11,12,23,4,-3,-4,-1,4,-4,11,-7,1,-3,-7,-5,8,-3,-10,3,7,-6,-3,4,-4,2,-11,-6,4,11,-2,-3,4,-7,2,9,8,,,,,,
36,7,-2,16,9,12,8,0,3,6,13,14,26,6,4,4,0,4,7,18,-3,6,2,-2,-4,11,4,-8,-1,6,-1,2,7,-1,7,-13,4,6,6,3,2,9,-11,11,17,7,,,,,,
37,14,-3,16,17,13,9,1,6,8,17,15,24,6,6,4,6,7,7,22,-4,7,2,-1,-3,19,8,-16,2,8,-2,7,4,-2,10,-12,4,17,4,8,1,13,-9,10,23,9,,,,,,
38,16,-4,17,21,14,9,0,13,16,16,13,23,3,9,12,2,3,15,23,-10,12,6,4,-5,21,10,-18,1,9,-5,4,6,-1,17,-18,13,14,3,7,1,18,-12,16,22,11,,,,,,
39,20,-7,18,13,16,9,4,14,17,21,16,22,4,-4,2,-7,-4,7,24,-2,16,4,-2,-13,18,-2,-16,-8,11,1,11,9,3,18,-19,4,5,6,9,8,19,-14,12,21,11,,,,,,
40,13,-6,20,3,15,11,-4,1,4,16,9,22,11,-8,-7,-9,-2,-3,15,-7,3,-4,-8,-12,8,-4,-1,-4,10,-7,0,8,-7,8,-15,-6,5,13,0,-3,11,-9,1,13,13,,,,,,
41,12,-3,21,12,13,18,-7,-2,-1,13,8,22,7,4,1,4,11,3,15,-13,-1,-8,-4,0,14,9,4,10,3,-13,-4,11,-11,4,1,-4,16,8,-3,-8,7,2,7,18,12,,,,,,
42,14,0,21,22,13,8,-2,7,7,15,12,22,2,13,14,7,14,15,23,-14,8,-5,4,4,22,14,0,8,0,-12,3,10,-3,14,1,8,22,6,4,-4,16,4,18,24,3,,,,,,
43,22,3,19,16,11,3,-3,7,10,22,18,23,1,6,8,4,6,12,24,-11,9,-3,3,0,22,6,-3,3,1,-9,3,4,-3,22,1,8,14,4,3,-3,20,2,14,23,2,,,,,,
44,14,6,19,9,11,3,-1,3,5,17,12,25,1,2,3,3,4,3,21,-6,6,-2,2,2,16,2,-1,3,2,-4,2,0,-4,11,-1,2,8,6,2,-1,14,2,7,22,1,,,,,,
45,13,8,19,7,12,2,-3,2,3,17,11,26,1,7,7,5,7,7,19,-7,3,-2,3,2,16,7,-3,4,3,-6,1,4,-3,8,-1,6,4,5,2,-2,13,2,4,14,2,,,,,,
46,13,3,19,9,12,7,1,6,8,18,11,26,1,2,3,2,5,5,11,-4,7,1,-2,-3,11,4,-1,5,1,-1,5,4,2,9,1,1,7,11,3,-1,13,5,6,12,4,,,,,,
47,9,-1,18,9,14,12,-1,1,3,12,8,25,9,6,4,9,15,4,11,-3,2,-1,-2,1,10,8,4,12,0,-2,1,6,-2,6,4,0,10,11,0,-1,9,9,7,13,7,,,,,,
48,10,0,19,11,13,9,0,2,4,12,11,24,7,15,12,14,15,13,11,-2,2,0,4,7,11,16,4,12,1,-2,2,7,-2,10,4,8,13,9,1,0,13,6,13,18,6,,,,,,
49,14,-1,15,14,12,10,1,9,11,16,11,24,7,13,12,11,12,10,17,-1,7,3,12,8,16,14,6,9,3,3,8,9,2,13,-1,12,14,10,9,2,13,7,12,23,10,,,,,,
50,17,-1,13,16,10,11,8,17,16,21,14,23,7,13,13,14,12,9,19,5,16,9,9,6,19,13,3,12,3,4,14,6,6,15,4,9,16,7,16,10,15,12,14,22,9,,,,,,
51,17,-2,16,18,13,9,4,9,13,18,14,24,9,18,12,14,14,12,22,0,10,5,7,9,21,19,3,11,4,0,8,6,2,14,6,9,14,9,9,4,15,8,17,18,9,,,,,,
52,16,-3,18,16,12,14,1,4,10,18,16,23,9,15,15,11,12,16,18,-2,8,2,11,8,17,14,7,11,3,-3,5,10,-1,13,6,13,14,7,6,2,16,11,18,19,14,,,,,,
53,19,-4,19,14,8,7,8,8,13,18,17,24,2,13,14,16,16,17,19,5,9,8,11,8,16,15,3,13,1,7,9,8,9,16,1,13,16,4,12,8,19,7,17,21,3,,,,,,
54,19,-2,13,18,6,-4,9,14,18,21,17,23,0,11,16,7,12,18,19,4,14,12,10,1,18,14,-1,4,-2,8,13,4,13,18,-3,16,19,4,16,11,20,-1,18,23,-1,,,,,,
55,20,-3,12,13,6,-7,15,17,19,20,18,23,0,9,14,0,2,20,21,7,14,16,9,-4,21,8,-2,-2,-3,11,16,-1,14,18,-4,19,6,3,18,14,19,-4,22,19,-1,,,,,,
56,13,1,13,6,8,-4,12,16,16,21,13,21,-1,-2,2,-4,0,6,14,8,14,15,0,-4,10,1,-3,-4,0,13,16,-2,12,19,-6,6,2,4,14,13,20,-2,9,12,-2,,,,,,
57,11,-2,16,7,7,-3,2,4,6,13,9,24,1,2,1,4,6,2,13,2,5,5,0,-1,12,2,-4,2,1,1,3,1,-1,8,-8,2,8,4,2,3,11,0,6,14,0,,,,,,
58,12,-2,14,11,8,3,4,6,8,15,8,24,0,8,8,5,7,10,22,1,7,6,4,1,15,7,-7,3,1,3,5,3,5,11,-8,5,14,4,4,4,13,1,12,23,2,,,,,,
59,19,-3,15,21,8,-3,9,12,14,21,16,23,1,17,13,11,14,13,26,3,11,7,9,3,23,20,-4,6,0,4,12,3,8,18,-6,7,18,7,10,6,20,-2,16,24,-1,,,,,,
60,22,-1,14,14,9,-1,12,18,20,24,19,22,4,9,11,2,5,13,23,5,18,13,5,-1,19,10,1,2,2,11,18,1,16,21,-7,9,9,8,16,11,23,-4,14,18,2,,,,,,
61,12,-3,17,9,11,2,7,10,11,16,9,24,6,2,2,-1,4,5,16,1,11,7,-3,-4,13,6,2,1,4,6,10,2,5,11,-7,1,8,6,8,7,13,-5,8,14,4,,,,,,
62,9,-7,18,9,11,7,-2,2,3,13,7,23,7,0,-1,-1,7,1,14,-7,3,-2,-5,-6,11,3,5,3,6,-4,1,4,-3,6,-4,-2,11,9,0,-1,9,3,6,13,6,,,,,,
63,11,-9,19,12,13,11,-7,-1,2,13,8,26,8,10,4,10,15,4,14,-13,1,-9,-4,1,12,13,6,9,7,-12,-3,7,-9,4,4,-3,11,6,-2,-7,8,10,9,14,12,,,,,,
64,11,-11,19,12,8,12,-6,-3,0,17,11,24,4,12,10,12,15,9,17,-9,-1,-6,2,8,16,14,1,17,-2,-8,-3,7,-8,6,2,5,13,4,-3,-5,11,12,13,19,13,,,,,,
65,19,-10,16,17,9,2,-1,1,7,19,18,22,2,15,13,17,17,14,21,-6,4,-3,11,11,22,17,1,16,-2,-5,1,4,-2,10,2,10,20,4,4,-3,15,7,17,24,0,,,,,,
66,17,-10,16,13,8,1,6,12,15,18,18,22,3,13,12,8,9,11,20,-1,14,4,9,3,17,9,1,8,2,2,11,3,6,17,-2,10,11,7,10,4,17,3,14,21,4,,,,,,
67,16,-9,19,13,12,8,11,12,15,19,13,23,9,9,9,7,9,10,18,7,14,10,6,-1,14,11,3,7,7,7,13,8,10,14,-6,9,13,9,12,11,16,1,12,20,11,,,,,,
68,16,-8,22,15,14,12,8,15,16,18,13,23,11,9,8,4,10,13,21,1,16,7,2,-4,19,13,-4,4,9,4,13,11,4,13,-11,9,19,13,14,9,15,-6,14,23,11,,,,,,
69,18,-8,23,13,16,8,-1,4,7,20,15,24,11,2,1,-5,2,7,23,-7,7,-1,-6,-11,18,4,-2,-5,10,-3,2,11,-3,13,-14,-2,13,13,2,0,18,-12,9,23,12,,,,,,
70,12,-7,24,4,16,4,-9,-2,1,16,9,24,11,0,-2,-4,1,1,17,-15,0,-8,-6,-10,9,1,-1,-2,9,-12,-4,11,-9,5,-13,-4,8,9,-3,-7,10,-9,2,18,10,,,,,,
71,9,-8,23,5,17,8,-7,-1,2,16,4,25,10,0,-2,-1,1,0,13,-12,1,-8,-6,-9,9,3,7,2,10,-10,-4,9,-9,4,-12,-3,6,13,-2,-7,6,-7,6,13,11,,,,,,
72,8,-5,25,7,16,4,-3,-2,3,10,4,24,11,0,-1,-3,-1,4,13,-8,1,-4,-5,-7,9,3,10,-3,10,-6,-3,10,-7,1,-16,0,6,12,-2,-6,3,-13,3,14,11,,,,,,
73,7,-3,26,4,18,13,-2,0,1,12,3,24,16,-4,-4,-6,-3,-1,12,-6,1,1,-7,-8,6,-1,11,-4,11,-4,-2,13,-6,6,-7,-6,6,13,-2,2,9,-7,1,14,14,,,,,,
74,4,-1,26,2,17,14,-6,-3,-2,7,2,25,14,-4,-3,-4,-1,-3,11,-3,-2,-4,-5,-6,6,-1,13,1,11,-6,-4,13,-7,0,-3,-6,7,11,-4,-4,4,2,0,17,16,,,,,,
75,6,1,26,7,17,16,-2,0,1,7,4,24,12,2,-1,6,11,-1,12,-6,1,-2,-2,-1,9,10,7,10,12,-4,-1,12,-4,3,4,-1,16,8,-1,-2,4,8,2,21,16,,,,,,
76,14,-1,26,17,16,13,2,3,5,12,10,25,16,13,4,11,16,3,19,-6,3,2,-2,2,17,17,6,12,11,-3,2,14,-2,5,1,-2,22,8,2,2,9,4,12,23,16,,,,,,
77,16,-6,27,19,16,14,-1,7,10,15,17,24,14,6,5,6,10,7,20,-3,8,-1,2,2,19,11,13,7,13,-6,1,14,-3,12,2,4,21,9,4,2,16,5,12,24,19,,,,,,
78,14,-1,27,17,17,17,2,6,7,17,12,25,14,7,7,12,21,4,23,-2,6,2,5,5,19,9,8,19,12,-1,6,13,3,8,8,3,23,7,4,2,12,12,9,24,16,,,,,,
79,18,0,28,22,15,17,3,7,8,16,14,26,13,16,8,14,20,10,23,2,7,6,7,7,21,22,3,14,11,0,5,14,1,9,4,2,25,8,4,7,13,8,18,24,17,,,,,,
80,21,1,27,21,14,11,6,10,13,19,22,27,12,11,8,6,12,14,24,3,9,8,4,1,23,14,6,6,7,5,9,14,6,19,-3,9,21,13,10,8,21,2,19,23,19,,,,,,
81,19,2,23,13,12,13,-2,4,9,24,13,27,11,4,1,3,9,5,22,-4,9,-1,-3,-1,22,9,8,7,4,-3,2,16,-2,11,3,0,17,8,6,-1,16,6,11,24,13,,,,,,
82,18,0,17,18,11,14,-2,0,4,20,13,26,8,6,6,10,19,8,22,-7,3,-2,2,3,22,18,7,17,4,-4,0,11,-4,7,3,2,22,8,2,-2,12,11,13,24,5,,,,,,
83,21,1,18,20,12,6,2,7,9,21,18,26,9,18,17,13,16,19,24,-3,10,3,13,5,24,20,7,13,8,-2,6,9,2,12,2,17,19,11,8,2,17,7,19,22,8,,,,,,
84,21,2,21,16,14,8,5,17,19,21,19,26,8,17,19,6,8,20,20,1,17,5,4,4,20,14,8,6,7,-1,13,8,2,18,6,18,12,9,17,5,18,5,19,21,9,,,,,,
85,20,3,21,16,13,7,2,7,11,22,20,27,9,12,15,7,9,18,23,-1,10,2,9,4,22,13,7,7,6,-2,6,9,0,18,10,15,15,9,8,3,20,6,19,24,7,,,,,,
86,22,2,22,21,12,8,3,14,16,22,19,27,9,11,13,9,11,17,24,-1,13,4,11,9,23,13,8,8,6,2,9,8,6,21,8,14,16,10,11,6,22,9,20,26,8,,,,,,
87,22,4,20,18,17,4,5,16,19,22,22,24,6,11,12,10,10,15,26,1,16,3,6,9,23,13,6,5,6,3,8,6,7,21,8,11,14,12,13,6,23,8,18,26,8,,,,,,
88,23,4,22,21,16,7,8,12,16,22,21,26,10,10,12,8,13,14,25,3,14,6,6,7,24,16,10,7,9,4,11,8,6,18,9,9,12,11,12,7,21,9,19,22,8,,,,,,
89,21,4,23,15,16,10,6,6,11,21,21,26,5,14,17,6,9,19,20,2,9,5,3,7,19,14,10,6,7,5,5,9,3,16,9,16,12,9,7,7,23,3,20,20,10,,,,,,
90,19,4,17,16,16,4,3,10,10,24,18,27,11,7,9,7,8,12,21,1,10,3,3,7,19,10,7,9,6,1,5,10,2,21,8,12,12,8,6,3,23,8,14,22,9,,,,,,
91,19,5,17,16,17,2,2,9,12,21,18,27,9,9,9,8,9,8,22,-1,10,2,7,9,21,12,8,6,8,1,7,4,4,17,12,4,16,11,8,3,19,10,12,22,11,,,,,,
92,21,3,20,17,18,7,9,11,13,21,18,27,9,13,11,10,12,13,21,4,10,7,8,8,19,16,8,9,10,4,11,6,8,15,10,8,13,9,11,9,20,10,17,19,9,,,,,,
93,19,4,22,18,17,7,9,14,14,23,18,27,5,15,16,11,14,17,22,4,12,8,10,9,20,16,3,14,8,5,12,8,8,17,7,14,18,7,12,8,21,8,19,21,6,,,,,,
94,22,7,20,19,17,1,7,18,22,24,22,27,6,14,13,12,11,17,22,2,20,5,9,11,21,12,4,12,9,3,14,3,8,23,7,13,14,10,18,6,23,7,21,24,5,,,,,,
95,23,7,22,14,17,3,8,14,19,26,16,26,14,9,12,9,10,19,22,2,16,4,4,7,20,10,6,11,12,4,13,6,8,19,6,13,13,12,14,7,18,7,19,18,8,,,,,,
96,14,6,24,13,13,9,5,14,13,18,12,25,15,9,6,8,9,9,17,2,14,7,2,7,14,11,13,8,12,3,9,9,7,16,4,9,12,14,9,9,16,4,11,18,16,,,,,,
97,14,4,25,13,13,16,7,8,8,15,12,26,12,9,7,8,9,8,17,7,9,9,6,7,13,11,9,8,8,7,7,12,6,11,15,6,15,11,7,9,14,16,12,19,19,,,,,,
98,13,4,24,17,10,17,7,9,11,14,12,27,6,14,10,17,18,9,18,4,10,7,7,14,16,17,8,17,3,6,9,16,6,11,15,7,21,8,9,7,13,19,13,21,10,,,,,,
99,16,7,22,22,10,8,9,10,14,16,14,25,5,20,16,22,23,16,19,8,12,12,17,17,19,23,4,19,3,8,11,11,9,14,7,15,23,8,11,11,16,8,17,23,4,,,,,,
100,18,6,22,20,12,6,15,17,19,19,17,26,9,18,19,14,13,22,21,13,13,16,19,7,19,21,4,8,8,14,16,9,19,18,3,21,18,9,17,12,18,3,21,24,9,,,,,,
101,21,5,23,16,16,10,20,21,22,21,19,26,9,12,15,11,12,17,23,16,21,20,10,6,21,14,3,8,8,18,19,11,23,21,7,16,16,8,20,18,20,6,21,19,9,,,,,,
102,22,7,25,18,14,12,15,19,22,21,20,27,14,13,12,14,16,17,22,11,19,12,11,8,22,16,9,14,10,14,19,14,12,21,9,12,18,13,20,14,21,11,19,21,16,,,,,,
103,21,8,27,21,12,15,10,13,17,20,21,27,9,20,16,19,20,17,22,7,16,11,8,10,22,22,10,16,6,7,13,13,10,19,11,13,18,9,13,11,22,7,19,24,17,,,,,,
104,22,7,24,22,11,16,10,13,18,21,21,26,5,22,19,18,21,18,22,8,15,9,12,13,21,22,8,19,4,7,13,13,9,19,17,17,21,9,13,11,22,17,22,24,9,,,,,,
105,21,5,24,22,13,12,10,16,19,23,21,26,7,24,22,21,22,23,22,12,17,13,19,17,22,24,6,21,6,9,12,14,11,23,9,21,22,8,17,11,22,12,23,24,8,,,,,,
106,22,7,25,22,12,12,20,23,25,22,21,25,13,17,19,17,16,21,24,18,23,22,16,13,23,21,6,14,9,19,22,14,22,22,7,22,19,11,20,22,22,9,24,25,13,,,,,,
107,23,5,26,21,14,14,18,19,19,21,20,24,13,16,16,16,17,20,24,12,18,17,12,11,22,18,9,14,11,14,19,15,13,23,3,16,17,12,19,18,23,7,22,22,18,,,,,,
108,22,6,27,22,16,14,12,13,17,22,21,26,12,18,17,19,19,20,24,4,17,7,12,13,23,18,9,19,9,8,13,14,9,20,7,16,19,13,14,10,23,12,22,22,14,,,,,,
109,22,4,27,22,14,13,7,11,14,23,22,26,11,23,22,19,21,22,23,4,18,9,17,9,23,23,11,19,8,8,11,16,10,17,6,21,21,12,12,6,23,7,22,25,12,,,,,,
110,24,6,26,23,16,9,14,18,21,23,23,26,9,19,21,13,17,24,25,7,19,10,14,8,23,19,9,13,9,11,17,14,12,22,8,22,19,12,19,12,23,9,23,26,10,,,,,,
111,23,7,26,18,18,6,10,14,23,22,23,26,8,12,12,11,11,17,24,3,19,7,9,9,24,13,7,10,8,6,12,14,11,24,9,14,13,12,17,9,25,8,19,27,9,,,,,,
112,22,7,27,12,16,6,10,12,14,22,22,26,13,13,11,14,13,11,24,3,14,7,9,12,21,13,11,12,11,6,11,10,9,22,11,9,12,14,14,8,26,11,13,18,11,,,,,,
113,17,8,29,16,16,14,13,11,13,22,16,27,14,13,13,14,12,12,16,9,13,10,12,13,13,14,11,12,13,11,12,12,12,13,3,11,13,11,11,12,20,16,11,18,14,,,,,,
114,17,8,27,17,16,12,12,12,13,16,16,27,9,17,17,17,16,18,18,11,13,13,13,14,17,16,10,16,8,13,11,14,14,14,3,14,15,11,12,9,17,8,17,18,11,,,,,,
115,19,10,26,18,16,7,11,13,14,19,19,26,10,20,18,17,16,17,19,7,14,9,17,14,19,20,9,9,8,8,12,9,11,18,1,17,22,11,12,11,20,2,18,24,7,,,,,,
116,21,7,25,16,17,6,13,16,18,19,20,27,9,19,23,7,9,21,25,9,16,11,22,6,22,16,7,6,14,11,16,8,17,21,4,21,9,11,17,14,23,2,21,25,11,,,,,,
117,24,8,26,13,17,7,17,19,22,26,22,26,7,12,16,9,9,16,21,13,20,13,15,1,18,12,7,8,11,16,21,12,18,22,6,17,12,9,20,15,22,3,21,21,8,,,,,,
118,26,6,25,21,18,4,21,23,24,26,24,26,8,13,12,6,14,17,26,16,22,19,13,6,23,14,7,8,7,21,22,3,22,26,4,14,19,9,22,18,26,4,20,28,5,,,,,,
119,26,7,21,23,19,-2,22,24,27,25,24,23,9,11,19,7,8,23,29,17,27,22,10,8,27,14,8,6,7,19,24,1,17,27,7,18,14,11,23,22,27,7,28,26,8,,,,,,
120,24,7,23,17,19,5,13,18,25,26,25,19,13,15,18,7,11,24,21,7,22,13,7,7,21,18,12,5,12,11,15,7,9,26,8,20,9,13,20,13,27,7,24,18,10,,,,,,
121,20,6,26,16,23,10,14,21,23,22,19,24,9,12,14,7,11,16,19,5,22,8,13,3,18,11,10,9,13,8,19,10,17,24,8,17,14,8,20,13,25,9,17,22,13,,,,,,
122,19,8,28,17,26,9,20,21,22,21,18,27,14,12,12,11,15,16,21,9,22,13,7,9,20,14,9,14,16,13,21,13,14,21,9,12,17,15,20,19,22,11,18,25,15,,,,,,
123,22,7,29,17,27,7,13,15,17,22,19,27,15,8,9,11,11,12,18,11,17,14,9,11,21,11,11,13,16,10,14,14,9,19,13,10,14,19,13,14,22,12,19,27,14,,,,,,
124,17,8,31,11,22,11,11,13,16,21,18,27,21,11,9,13,13,15,14,10,16,11,8,13,14,14,17,13,18,10,11,13,10,21,13,12,14,21,12,11,22,12,16,21,17,,,,,,
125,12,7,33,17,19,16,10,18,19,16,12,27,22,13,11,16,15,12,18,8,18,9,10,14,16,16,19,16,17,9,15,17,9,19,19,10,16,12,16,12,16,17,11,22,21,,,,,,
